ID,Item Name,Item Type,Current Stock,Is Fixed Price,Barcode,Unit Price Per Tab,Expiry Date,Batch Number,Purchase Price,Sale Price,Fixed Sale Price,Markup Percentage
1a6c7303-8539-44e7-8263-aa14cad346eb,N/A,Pharmacy,76.0,False,,13.0,2027-11-10,,7.59,130.0,0.0,0.0
2a352305-fbfd-47bd-8368-f9de642ae3d5,N/A,Pharmacy,4.0,False,,75.0,2027-01-01,,50.0,75.0,0.0,0.0
af7e2350-4fae-4057-ad6b-bf62208fe7be,N/A,Pharmacy,4.0,False,,25.0,2027-07-01,,17.9,750.0,0.0,0.0
731c1efc-f3ed-486e-ba28-4130bfd0b8af,N/A,Pharmacy,60.0,True,,7.0,2028-01-01,None,14.4,21.0,21.0,0.0
b83a089c-826c-4917-b37f-b9762bc4db13,N/A,Pharmacy,6.0,False,,27.0,2027-01-01,,21.1,27.0,0.0,0.0
37afe4e8-f3ef-4372-9bb7-ad28f777e681,N/A,Pharmacy,12.0,False,,38.0,2028-03-01,,26.7,35.0,0.0,0.0
036b9a91-168c-4f60-a59e-cdac1effcab8,N/A,Pharmacy,4.0,False,,4.0,2027-02-20,,2.69,4.0,0.0,0.0
11efe820-53c9-4dae-acb2-406619211054,N/A,Pharmacy,14.0,False,,22.0,2027-01-01,,10.7,22.0,0.0,0.0
9354ac3b-74f5-436f-8000-1b316166ee1e,N/A,Pharmacy,18.0,False,,20.0,2027-04-01,,13.4,20.0,0.0,0.0
5f8efe9c-f633-4441-8f4d-89fa60f635e1,N/A,Pharmacy,43.0,False,,10.0,2027-07-01,,5.99,100.0,0.0,0.0
8a3a87a8-159b-44b8-bc4c-cc1f62113ce2,N/A,Pharmacy,10.0,False,013,0.339,2029-02-01,None,3.39,3.39,0.0,0.0
fc445d7e-c2f6-445f-a04a-339ec9de433f,N/A,Pharmacy,512.0,False,,3.0,2028-04-01,,1.58,75.0,0.0,0.0
2eb8bd2d-3984-46c0-9549-5ab4f7b85741,N/A,Pharmacy,162.0,False,,7.0,2027-08-01,,4.51,70.0,0.0,0.0
cb5f60e1-788f-4914-8249-27d53cd91f01,N/A,Pharmacy,2.0,False,,45.0,2026-11-01,,38.99,45.0,0.0,0.0
763b537d-3bfa-4e5a-bb3d-789b72a9dd7f,N/A,Pharmacy,24.0,False,,20.0,2027-10-01,,13.98,20.0,0.0,0.0
b9551c71-a6c5-46b2-b890-7c4ffe54b68f,N/A,Pharmacy,40.0,False,,15.0,2026-04-01,,7.7,15.0,0.0,0.0
f8c93d1f-b6a3-4504-bfe0-e86748c7aebc,N/A,Pharmacy,10.0,False,,20.0,2028-02-01,,12.5,20.0,0.0,0.0
f630f35d-4d7e-4774-ba31-f9f920caa325,N/A,Pharmacy,12.0,False,,37.0,2027-04-01,,21.5,37.0,0.0,0.0
c170f24e-b370-4198-8990-476df9742bde,N/A,Pharmacy,60.0,False,,10.0,2027-04-01,,4.98,10.0,0.0,0.0
69fd07af-2bbd-4120-8a4d-58617b448795,N/A,Pharmacy,206.0,False,,7.0,2026-09-01,,4.69,70.0,0.0,0.0
d5ad69b0-a008-4b4f-8e33-3295c3685b79,N/A,Pharmacy,44.0,False,,17.0,2027-03-01,,6.88,17.0,0.0,0.0
14d5adac-7dfd-4278-81cb-c0cfe5494541,N/A,Pharmacy,518.0,False,,7.0,2026-02-01,,4.1,70.0,0.0,0.0
057f0192-8f6e-4695-9908-dc5109ede2f4,N/A,Pharmacy,10.0,False,,25.0,2027-09-10,,17.9,25.0,0.0,0.0
